Nom de test ;Catégorie de test;Direction métier (Nomination Capgemin/MG2);Répartition (STM/ SSTM / SYNTHESE );Test d'homologation;Pays de commercialisation;Prestation à valider;Sous prestation;Catégorie du Véhicule;Stratégie de Validation;Pourcentage de la nécessité de la réalisation de l'essai;Prix de l'essai en (€);Jalon;Durée de l'essai (Jour);Lieu de réalisation de l'essai;Description de l'essai;Test à faire dans le cadre d'une Mi-vie;Zone de modification;Niveau de modification;Type de moyen;Moyen Dédié /Partagé
ACC3_PROVIF_Physique;VEHICLE SYSTEM ARCHITECTURE;CAP-P part;Synthèse;NA ;Europe ;Test de Sécurité Foctionnelle et Disfonctionnelle;ADAS;Toutes catégories;Test physique;100%;TBD;Essais toutes phases ;5.0;Cetiev / ITLINK /AVL ;;OUI;Face avant (Front-end);Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
CPKX_PROC_Physique;ADVANCED DRIVER ASSISTANCE;CAP-P part;Synthèse;NA ;Europe ;Test de Sécurité Foctionnelle et Disfonctionnelle;ADAS;Toutes catégories;Test physique;100%;TBD;Essais toutes phases ;10.0;Cetiev / ITLINK /AVL ;;OUI;Face avant & Face arrière;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
LKA_ENTRY_PROC_Physique;ADVANCED DRIVER ASSISTANCE;CAP-P part;Synthèse;NA ;Europe ;Test de Sécurité Foctionnelle et Disfonctionnelle;ADAS;Toutes catégories;Test physique;100%;TBD;Essais toutes phases ;0.0;Cetiev / ITLINK /AVL ;;OUI;Face avant (Front-end);Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
LKA_PROC_PHYSIC;ADVANCED DRIVER ASSISTANCE;CAP-P part;Synthèse;NA ;Europe ;Test de Sécurité Foctionnelle et Disfonctionnelle;ADAS;Toutes catégories;Test physique;100%;TBD;Essais toutes phases ;0.0;Cetiev / ITLINK /AVL ;;OUI;Face avant (Front-end);Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
LKA_PROVe_Physique;ADVANCED DRIVER ASSISTANCE;CAP-P part;Synthèse;NA ;Europe ;Test de Sécurité Foctionnelle et Disfonctionnelle;ADAS;Toutes catégories;Test physique;100%;TBD;Essais toutes phases ;1.0;Cetiev / ITLINK /AVL ;;OUI;Face avant (Front-end);Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
LKA_PROVe_PHYSIC;ADVANCED DRIVER ASSISTANCE;CAP-P part;Synthèse;NA ;Europe ;Test de Sécurité Foctionnelle et Disfonctionnelle;ADAS;Toutes catégories;Test physique;100%;TBD;Essais toutes phases ;1.0;Cetiev / ITLINK /AVL ;;OUI;Face avant (Front-end);Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
LKA_ENTRY_PROVFSC_Physique;VEHICLE SYSTEM ARCHITECTURE;CAP-P part;Synthèse;NA ;Europe ;Test de Sécurité Foctionnelle et Disfonctionnelle;ADAS;Toutes catégories;Test physique;100%;TBD;Essais toutes phases ;4.0;Cetiev / ITLINK /AVL ;;OUI;Face avant (Front-end);Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
LKA_MAINSTREAM_PROVFSC_Physique;VEHICLE SYSTEM ARCHITECTURE;CAP-P part;Synthèse;NA ;Europe ;Test de Sécurité Foctionnelle et Disfonctionnelle;ADAS;Toutes catégories;Test physique;100%;TBD;Essais toutes phases ;0;Cetiev / ITLINK /AVL ;;OUI;Face avant (Front-end);Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
AEBS3_PROM_Physique;VEHICLE SYSTEM ARCHITECTURE;CAP-P part;Synthèse;NA ;Europe ;Test de Sécurité Foctionnelle et Disfonctionnelle;ADAS;Toutes catégories;Test physique;100%;TBD;Essais toutes phases ;10.0;Cetiev / ITLINK /AVL ;;OUI;Face avant (Front-end);Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
ICB_PROVFSC_Physique;TECHNICAL FUNCTIONAL ARCHITECTURE;CAP-P part;Synthèse;NA ;Europe ;Test de Sécurité Foctionnelle et Disfonctionnelle;ADAS;Toutes catégories;Test physique;100%;TBD;Essais toutes phases ;1.0;Cetiev / ITLINK /AVL ;;OUI;Face avant (Front-end);Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
LKA_MAINSTREAM_PROVE_Physique;ADVANCED DRIVER ASSISTANCE;CAP-P part;Synthèse;NA ;Europe ;Test de Sécurité Foctionnelle et Disfonctionnelle;ADAS;Toutes catégories;Test physique;100%;TBD;Essais toutes phases ;3.0;Cetiev / ITLINK /AVL ;;OUI;Face avant (Front-end);Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
VP1_PROC_Physique;ADVANCED DRIVER ASSISTANCE;CAP-P part;Synthèse;NA ;Europe ;Test de Sécurité Foctionnelle et Disfonctionnelle;ADAS;Toutes catégories;Test physique;100%;TBD;Essais toutes phases ;4.0;Cetiev / ITLINK /AVL ;;OUI;Face arrière (Rear-end);Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
AVP_PROVe_Physique;ADVANCED DRIVER ASSISTANCE;CAP-P part;Synthèse;NA ;Europe ;Test de Sécurité Foctionnelle et Disfonctionnelle;ADAS;Toutes catégories;Test physique;100%;TBD;Essais toutes phases ;2.0;Cetiev / ITLINK /AVL ;;OUI;Face arrière (Rear-end);Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
VP1_PROVE_Physique;ADVANCED DRIVER ASSISTANCE;CAP-P part;Synthèse;NA ;Europe ;Test de Sécurité Foctionnelle et Disfonctionnelle;ADAS;Toutes catégories;Test physique;100%;TBD;Essais toutes phases ;2.0;Cetiev / ITLINK /AVL ;;OUI;Face arrière (Rear-end);Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
ICB_PROVIF_Physique;TECHNICAL FUNCTIONAL ARCHITECTURE;CAP-P part;Synthèse;NA ;Europe ;Test de Sécurité Foctionnelle et Disfonctionnelle;ADAS;Toutes catégories;Test physique;100%;TBD;Essais toutes phases ;1.0;Cetiev / ITLINK /AVL ;;OUI;Face avant (Front-end);Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
DOP_PROC_Physique;ADVANCED DRIVER ASSISTANCE;CAP-P part;Synthèse;NA ;Europe ;Test de Sécurité Foctionnelle et Disfonctionnelle;ADAS;Toutes catégories;Test physique;100%;TBD;Essais toutes phases ;2.0;Cetiev / ITLINK /AVL ;;OUI;Face arrière (Rear-end);Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
DOP_PROVe_Physique;ADVANCED DRIVER ASSISTANCE;CAP-P part;Synthèse;NA ;Europe ;Test de Sécurité Foctionnelle et Disfonctionnelle;ADAS;Toutes catégories;Test physique;100%;TBD;Essais toutes phases ;10.0;Cetiev / ITLINK /AVL ;;OUI;Face arrière (Rear-end);Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
SLI_PROC_Physique;ADVANCED DRIVER ASSISTANCE;CAP-P part;Synthèse;NA ;Europe ;Test de Sécurité Foctionnelle et Disfonctionnelle;ADAS;Toutes catégories;Test physique;100%;TBD;Essais toutes phases ;2.0;Cetiev / ITLINK /AVL ;;OUI;Face avant (Front-end);Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
SLI_PROVe_Physique;ADVANCED DRIVER ASSISTANCE;CAP-P part;Synthèse;NA ;Europe ;Test de Sécurité Foctionnelle et Disfonctionnelle;ADAS;Toutes catégories;Test physique;100%;TBD;Essais toutes phases ;0.0;Cetiev / ITLINK /AVL ;;OUI;Face avant (Front-end);Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
BSD_PROC_Physique;ADVANCED DRIVER ASSISTANCE;CAP-P part;Synthèse;NA ;Europe ;Test de Sécurité Foctionnelle et Disfonctionnelle;ADAS;Toutes catégories;Test physique;100%;TBD;Essais toutes phases ;3.0;Cetiev / ITLINK /AVL ;;OUI;Face arrière (Rear-end);Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
BSD_PROVe_Physique;ADVANCED DRIVER ASSISTANCE;CAP-P part;Synthèse;NA ;Europe ;Test de Sécurité Foctionnelle et Disfonctionnelle;ADAS;Toutes catégories;Test physique;100%;TBD;Essais toutes phases ;3.0;Cetiev / ITLINK /AVL ;;OUI;Face arrière (Rear-end);Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
DSV_PROC_Physique;ADVANCED DRIVER ASSISTANCE;CAP-P part;Synthèse;NA ;Europe ;Test de Sécurité Foctionnelle et Disfonctionnelle;ADAS;Toutes catégories;Test physique;100%;TBD;Essais toutes phases ;0.0;Cetiev / ITLINK /AVL ;;OUI;Face arrière (Rear-end);Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
DSV_PROVe_Physique;ADVANCED DRIVER ASSISTANCE;CAP-P part;Synthèse;NA ;Europe ;Test de Sécurité Foctionnelle et Disfonctionnelle;ADAS;Toutes catégories;Test physique;100%;TBD;Essais toutes phases ;0.0;Cetiev / ITLINK /AVL ;;OUI;Face arrière (Rear-end);Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
LPA_PROVe_Physique;ADVANCED DRIVER ASSISTANCE;CAP-P part;Synthèse;NA ;Europe ;Test de Sécurité Foctionnelle et Disfonctionnelle;ADAS;Toutes catégories;Test physique;100%;TBD;Essais toutes phases ;4.0;Cetiev / ITLINK /AVL ;;OUI;Face avant (Front-end);Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
V-AEB_PROM_Physique;VEHICLE SYSTEM ARCHITECTURE;CAP-P part;Synthèse;NA ;Europe ;Test de Sécurité Foctionnelle et Disfonctionnelle;ADAS;Toutes catégories;Test physique;100%;TBD;Essais toutes phases ;10.0;Cetiev / ITLINK /AVL ;;OUI;Face avant (Front-end);Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
AEBS3_PROVFSC_Physique;VEHICLE SYSTEM ARCHITECTURE;CAP-P part;Synthèse;NA ;Europe ;Test de Sécurité Foctionnelle et Disfonctionnelle;ADAS;Toutes catégories;Test physique;100%;TBD;Essais toutes phases ;2.0;Cetiev / ITLINK /AVL ;;OUI;Face avant (Front-end);Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
AEBS3_PROVIF_Physique;VEHICLE SYSTEM ARCHITECTURE;CAP-P part;Synthèse;NA ;Europe ;Test de Sécurité Foctionnelle et Disfonctionnelle;ADAS;Toutes catégories;Test physique;100%;TBD;Essais toutes phases ;4.0;Cetiev / ITLINK /AVL ;;OUI;Face avant (Front-end);Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
ICB_PROVe_Physique;ADVANCED DRIVER ASSISTANCE;CAP-P part;Synthèse;NA ;Europe ;Test de Sécurité Foctionnelle et Disfonctionnelle;ADAS;Toutes catégories;Test physique;100%;TBD;Essais toutes phases ;3.0;Cetiev / ITLINK /AVL ;;OUI;Face avant (Front-end);Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
ETSR_PROVe_Physique;ADVANCED DRIVER ASSISTANCE;CAP-P part;Synthèse;NA ;Europe ;Test de Sécurité Foctionnelle et Disfonctionnelle;ADAS;Toutes catégories;Test physique;100%;TBD;Essais toutes phases ;5.0;Cetiev / ITLINK /AVL ;;OUI;Face avant (Front-end);Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
SSSM_PROC_Physique;START AND STOP SELF MOTION;CAP-P part;Synthèse;NA ;Europe ;Test de Sécurité Foctionnelle et Disfonctionnelle;ADAS;Toutes catégories;Test physique;100%;TBD;Essais toutes phases ;3.0;Cetiev / ITLINK /AVL ;;OUI;Face arrière (Rear-end);Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
ABSD_PROC_Physique;ADVANCED DRIVER ASSISTANCE;CAP-P part;Synthèse;NA ;Europe ;Test de Sécurité Foctionnelle et Disfonctionnelle;ADAS;Toutes catégories;Test physique;100%;TBD;Essais toutes phases ;6.0;Cetiev / ITLINK /AVL ;;OUI;Face arrière (Rear-end);Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
ETSR_PROC_Physique;ADVANCED DRIVER ASSISTANCE;CAP-P part;Synthèse;NA ;Europe ;Test de Sécurité Foctionnelle et Disfonctionnelle;ADAS;Toutes catégories;Test physique;100%;TBD;Essais toutes phases ;1.0;Cetiev / ITLINK /AVL ;;OUI;Face avant (Front-end);Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
AVN_PROC_Physique;ADVANCED DRIVER ASSISTANCE;CAP-P part;Synthèse;NA ;Europe ;Test de Sécurité Foctionnelle et Disfonctionnelle;ADAS;Toutes catégories;Test physique;100%;TBD;Essais toutes phases ;2.0;Cetiev / ITLINK /AVL ;;OUI;Face avant (Front-end);Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
LPA_PROH_Physique;ADVANCED DRIVER ASSISTANCE;CAP-P part;Synthèse;NA ;Europe ;Test de Sécurité Foctionnelle et Disfonctionnelle;ADAS;Toutes catégories;Test physique;100%;TBD;Essais toutes phases ;15.0;Cetiev / ITLINK /AVL ;;OUI;Face avant (Front-end);Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
Prove Verification de la chaine d'alerte FAP et SCR;CONTROL VEHICLE EMISSIONS;CAP-P part;Synthèse;;pays européen;Essai émissions WLTP/NEDC;Emissions Gaz;Toutes catégories;Physique ;100%;TBD;Développement;10.0;FEV France / Maroc ;;Non;PWT;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
Prove Vérification de l'ecoulement SCR;CONTROL VEHICLE EMISSIONS;CAP-P part;Synthèse;;pays européen;Essai émissions WLTP/NEDC;Emissions Gaz;Toutes catégories;Physique ;100%;TBD;Développement;2.0;FEV France / Maroc ;;Non;PWT;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
Blow-by freezing  - mandatory rule;ENGINE AND AFTER-TREATMENT;CAP-P part;Synthèse;;pays européen;Essai émissions WLTP/NEDC;Emissions Gaz;Toutes catégories;Physique ;100%;TBD;Développement;0.0;FEV France / Maroc ;;Non;PWT;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
Thermomanagement batterie;PROVIDE THERMAL COMFORT;CAP-P part;Synthèse;;pays européen;Thermique;Essai thermo-management BAT;Toutes catégories;Physique ;100%;TBD;Développement;25.0;FEV France / Maroc ;;Non;PWT;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
Pollu/conso WLTP - moteur thermique;CONTROL VEHICLE EMISSIONS;CAP-P part;Synthèse;X;pays européen;Essai émissions WLTP/NEDC;Emissions Gaz;Toutes catégories;Physique ;100%;TBD;Développement;65.0;FEV France / Maroc ;;Non;PWT;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
Pollu/conso WLTP - PHEV Europe;CONTROL VEHICLE EMISSIONS;CAP-P part;Synthèse;X;pays européen;Essai émissions WLTP/NEDC;Emissions Gaz;Toutes catégories;Physique ;100%;TBD;Développement;130.0;FEV France / Maroc ;;Non;PWT;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
Pollu/conso WLTP - Véhicule électrique;CONTROL VEHICLE EMISSIONS;CAP-P part;Synthèse;X;pays européen;Essai émissions WLTP/NEDC;Emissions Gaz;Toutes catégories;Physique ;100%;TBD;Développement;65.0;FEV France / Maroc ;;Non;PWT;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
Pollu/conso NEDC - moteur thermique;CONTROL VEHICLE EMISSIONS;CAP-P part;Synthèse;X;pays européen;Essai émissions WLTP/NEDC;Emissions Gaz;Toutes catégories;Physique ;100%;TBD;Développement;65.0;FEV France / Maroc ;;Non;PWT;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
Pollu/conso WLTP - moteur thermique - Ki seul;CONTROL VEHICLE EMISSIONS;CAP-P part;Synthèse;X;pays européen;Essai émissions WLTP/NEDC;Emissions Gaz;Toutes catégories;Physique ;100%;TBD;Développement;40.0;FEV France / Maroc ;;Non;PWT;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
Pollu/conso WLTP - PHEV Europe - Ki seul;CONTROL VEHICLE EMISSIONS;CAP-P part;Synthèse;X;pays européen;Essai émissions WLTP/NEDC;Emissions Gaz;Toutes catégories;Physique ;100%;TBD;Développement;40.0;FEV France / Maroc ;;Non;PWT;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
Pollu/conso WLTP - PHEV Europe - RDE;CONTROL VEHICLE EMISSIONS;CAP-P part;Synthèse;X;pays européen;Essai émissions WLTP/NEDC;Emissions Gaz;Toutes catégories;Physique ;100%;TBD;Développement;45.0;FEV France / Maroc ;;Non;PWT;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
Pollu/conso WLTP - moteur thermique - EOBD;CONTROL VEHICLE EMISSIONS;CAP-P part;Synthèse;X;pays européen;Essai émissions WLTP/NEDC;Emissions Gaz;Toutes catégories;Physique ;100%;TBD;Développement;85.0;FEV France / Maroc ;;Non;PWT;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
Pollu/conso NEDC - moteur thermique - EOBD;CONTROL VEHICLE EMISSIONS;CAP-P part;Synthèse;X;pays européen;Essai émissions WLTP/NEDC;Emissions Gaz;Toutes catégories;Physique ;100%;TBD;Développement;85.0;FEV France / Maroc ;;Non;PWT;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
Pollu/conso WLTP - PHEV Europe - EOBD;CONTROL VEHICLE EMISSIONS;CAP-P part;Synthèse;X;pays européen;Essai émissions WLTP/NEDC;Emissions Gaz;Toutes catégories;Physique ;100%;TBD;Développement;85.0;FEV France / Maroc ;;Non;PWT;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
Pollu/conso WLTP - moteur thermique - EVAP avec baking (véhicule à vieillir par métier);CONTROL VEHICLE EMISSIONS;CAP-P part;Synthèse;X;pays européen;Essai émissions WLTP/NEDC;Emissions Gaz;Toutes catégories;Physique ;100%;TBD;Développement;140.0;FEV France / Maroc ;;Non;PWT;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
Pollu/conso WLTP - PHEV Europe - EVAP avec baking (véhicle à vieillir par métier);CONTROL VEHICLE EMISSIONS;CAP-P part;Synthèse;X;pays européen;Essai émissions WLTP/NEDC;Emissions Gaz;Toutes catégories;Physique ;100%;TBD;Développement;140.0;FEV France / Maroc ;;Non;PWT;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
Pollu/conso WLTP - moteur thermique - EVAP 48h sans baking (vehicule vieilli en RAF) (cas GMP nouveau);CONTROL VEHICLE EMISSIONS;CAP-P part;Synthèse;X;pays européen;Essai émissions WLTP/NEDC;Emissions Gaz;Toutes catégories;Physique ;100%;TBD;Développement;50.0;FEV France / Maroc ;;Non;PWT;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
Pollu/conso NEDC - moteur thermique - EVAP 24h;CONTROL VEHICLE EMISSIONS;CAP-P part;Synthèse;X;pays européen;Essai émissions WLTP/NEDC;Emissions Gaz;Toutes catégories;Physique ;100%;TBD;Développement;30.0;FEV France / Maroc ;;Non;PWT;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
Pollu/conso WLTP - PHEV Europe - EVAP 48h sans baking (vehicule vieilli en RAF) (cas GMP nouveau);CONTROL VEHICLE EMISSIONS;CAP-P part;Synthèse;X;pays européen;Essai émissions WLTP/NEDC;Emissions Gaz;Toutes catégories;Physique ;100%;TBD;Développement;50.0;FEV France / Maroc ;;Non;PWT;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
Pollu/conso WLTP - moteur thermique - Pertes trains;CONTROL VEHICLE EMISSIONS;CAP-P part;Synthèse;X;pays européen;Essai émissions WLTP/NEDC;Emissions Gaz;Toutes catégories;Physique ;100%;TBD;Développement;70.0;FEV France / Maroc ;;Non;PWT;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
Pollu/conso NEDC - moteur thermique - Pertes trains ou Coast down piste;CONTROL VEHICLE EMISSIONS;CAP-P part;Synthèse;X;pays européen;Essai émissions WLTP/NEDC;Emissions Gaz;Toutes catégories;Physique ;100%;TBD;Développement;70.0;FEV France / Maroc ;;Non;PWT;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
Pollu/conso WLTP - PHEV Europe - Pertes trains;CONTROL VEHICLE EMISSIONS;CAP-P part;Synthèse;X;pays européen;Essai émissions WLTP/NEDC;Emissions Gaz;Toutes catégories;Physique ;100%;TBD;Développement;70.0;FEV France / Maroc ;;Non;PWT;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
Pollu/conso WLTP - Véhicule électrique Europe - Pertes trains;CONTROL VEHICLE EMISSIONS;CAP-P part;Synthèse;X;pays européen;Essai émissions WLTP/NEDC;Emissions Gaz;Toutes catégories;Physique ;100%;TBD;Développement;70.0;FEV France / Maroc ;;Non;PWT;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
Refroidissement Battery Electrical Vehicle;ENSURE THERMAL PROTECTION;CAP-P part;Synthèse;X;pays européen;Essai émissions WLTP/NEDC;Batterie;Toutes catégories;Physique ;100%;TBD;Développement;25.0;FEV France / Maroc ;;Non;PWT;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
Résistance à l'avancement du véhicule_numérique;OPTIMIZE CONSUMPTION AND AUTONOMY;CAP-P part;Synthèse;;pays européen;Essai émissions WLTP/NEDC;Essai Costdown;Toutes catégories;Physique ;100%;TBD;Développement;1.0;FEV France / Maroc ;;Non;PWT;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];MC - Full test equipment;Partagé
