Nom de test ;Catégorie de test;Direction métier (Nomination Capgemin/MG2);Répartition (STM/ SSTM / SYNTHESE );Test d'homologation;Pays de commercialisation;Prestation à valider;Sous prestation;Catégorie du Véhicule;Stratégie de Validation;Pourcentage de la nécessité de la réalisation de l'essai;Prix de l'essai en (€);Jalon;Durée de l'essai (Jour);Lieu de réalisation de l'essai;Description de l'essai;Test à faire dans le cadre d'une Mi-vie;Zone de modification;Niveau de modification;Type de moyen;Moyen Dédié /Partagé
Calcul Latéral Occupant Safety;Choc Latéral Habitacle;MG2 CAE;Synthèse;X;Europe;Sécurité Passive;Biomécanique;Toutes catégories;Numérique;100%;NC;Développement;NC;;;Oui;Habitacle;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];NC;NC
Calcul Arrière Occupant Safety;Choc Arrière Habitacle;MG2 CAE;Synthèse;X;Europe;Sécurité Passive;Biomécanique;Toutes catégories;Numérique;100%;NC;Développement;NC;;;Oui;Habitacle;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];NC;NC
Calcul KneeMapping;Choc Frontal Pulse ;MG2 CAE;Synthèse;X;Europe;Sécurité Passive;Biomécanique;Toutes catégories;Numérique;50%;NC;Développement;NC;;;Oui;Habitacle;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];NC;NC
Air Flow Speed in front of the exchangers;CFD;Capgemini CAE;Synthèse;;Tout;Aerodynamique;Style;Toutes catégories;Numérique;50%;NC;Développement;NC;;;Oui;Habitacle;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];NC;NC
Calcul Homologation Europe Piéton (Tete, Flex-Pli, A-Pli, Fémur);Choc Piéton;MG2 CAE;Synthèse;X;Europe;Sécurité Passive;Structure;Toutes catégories;Numérique;100%;NC;Développement;NC;;;Oui;Face avant (Front-end);Niveau 1 : Face AV (PC +Optiques) + Face ARR + Capot  [Modification légère, Structure véhicule non modifiée];NC;NC
Calcul ENCAP Piéton (Tete, Flex-Pli, A-Pli, Fémur);Choc Piéton;MG2 CAE;Synthèse;;Europe;Sécurité Passive;Structure;Toutes catégories;Numérique;75%;NC;Développement;NC;;;Oui;Face avant (Front-end);Niveau 1 : Face AV (PC +Optiques) + Face ARR + Capot  [Modification légère, Structure véhicule non modifiée];NC;NC
Calcul USNCAP Piéton (Tete, Flex-Pli, A-Pli, Fémur);Choc Piéton;MG2 CAE;Synthèse;;US;Sécurité Passive;Structure;Toutes catégories;Numérique;50%;NC;Développement;NC;;;Oui;Face avant (Front-end);Niveau 1 : Face AV (PC +Optiques) + Face ARR + Capot  [Modification légère, Structure véhicule non modifiée];NC;NC
Calcul CNCAP Piéton (Tete, Flex-Pli, A-Pli, Fémur);Choc Piéton;MG2 CAE;Synthèse;;Chine;Sécurité Passive;Structure;Toutes catégories;Numérique;20%;NC;Développement;NC;;;Oui;Face avant (Front-end);Niveau 1 : Face AV (PC +Optiques) + Face ARR + Capot  [Modification légère, Structure véhicule non modifiée];NC;NC
Effort sur Capot (0° 10° passage camion);CFD;Capgemini CAE;Synthèse;;Tout;Aerodynamique;Style;Toutes catégories;Numérique;50%;NC;Développement;NC;;;Oui;Face avant (Front-end);Niveau 1 : Face AV (PC +Optiques) + Face ARR + Capot  [Modification légère, Structure véhicule non modifiée];NC;NC
Echange thermique Sous Capot;CFD;Capgemini CAE;Synthèse;;Tout;Thermique;Moteur;Toutes catégories;Numérique;50%;NC;Développement;NC;;;Oui;Face avant (Front-end);Niveau 1 : Face AV (PC +Optiques) + Face ARR + Capot  [Modification légère, Structure véhicule non modifiée];NC;NC
Echange thermique Sous Structure;CFD;Capgemini CAE;Synthèse;;Tout;Thermique;Face Arrière;Toutes catégories;Numérique;50%;NC;Développement;NC;;;Oui;Face avant & Face arrière;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];NC;NC
Aérolique : Defrost;CFD;Capgemini CAE;Synthèse;;Tout;Thermique;HVAC, Cabin;Toutes catégories;Numérique;50%;NC;Développement;NC;;;Oui;Habitacle;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];NC;NC
Aérolique : Ventilation;CFD;Capgemini CAE;Synthèse;;Tout;Thermique;HVAC, Cabin;Toutes catégories;Numérique;50%;NC;Développement;NC;;;Oui;Habitacle;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];NC;NC
Aérolique : Extraction d'air;CFD;Capgemini CAE;Synthèse;;Tout;Thermique;HVAC, Cabin;Toutes catégories;Numérique;50%;NC;Développement;NC;;;Oui;Habitacle;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];NC;NC
Wind Noise;NVH;MG2 CAE;Synthèse;;Tout;Bruit ;Structure;Toutes catégories;Numérique;50%;NC;Développement;NC;;;Oui;Habitacle;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];NC;NC
PowerTrain Noise (Booming , roughness);NVH;MG2 CAE;Synthèse;;Tout;Bruit ;Structure;Toutes catégories;Numérique;50%;NC;Développement;NC;;;Non;PWT;Niveau 3 : Niveau 2 + Garnissages (Portes, Pieds,...)+Pdb + Console [Mofification lourde avec des changements dans l'habitacle, structure modifiée];NC;NC
